2022-06-14 00:33:44,001::DEBUG::proto_mqtt.py::181 topic : HeartBeat, data publish : {'action': 'hb', 'data': {'deviceId': 'E4:5F:01:82:7B:03', 'hotspot': 'avia', 'localStaticIp': '192.168.1.203', 'temp': 49.66, 'ramStatus': {'total': 4025397248, 'used': 119582720, 'free': 3714613248}}} Heartbeat On HeartBeat
2022-06-14 00:34:14,817::DEBUG::proto_mqtt.py::181 topic : HeartBeat, data publish : {'action': 'hb', 'data': {'deviceId': 'E4:5F:01:82:7B:03', 'hotspot': 'avia', 'localStaticIp': '192.168.1.203', 'temp': 49.173, 'ramStatus': {'total': 4025397248, 'used': 120041472, 'free': 3714134016}}} Heartbeat On HeartBeat
2022-06-14 00:34:45,591::DEBUG::proto_mqtt.py::181 topic : HeartBeat, data publish : {'action': 'hb', 'data': {'deviceId': 'E4:5F:01:82:7B:03', 'hotspot': 'avia', 'localStaticIp': '192.168.1.203', 'temp': 49.173, 'ramStatus': {'total': 4025397248, 'used': 119705600, 'free': 3714461696}}} Heartbeat On HeartBeat
2022-06-14 00:35:16,311::DEBUG::proto_mqtt.py::181 topic : HeartBeat, data publish : {'action': 'hb', 'data': {'deviceId': 'E4:5F:01:82:7B:03', 'hotspot': 'avia', 'localStaticIp': '192.168.1.203', 'temp': 49.66, 'ramStatus': {'total': 4025397248, 'used': 119889920, 'free': 3714260992}}} Heartbeat On HeartBeat
2022-06-14 00:35:47,125::DEBUG::proto_mqtt.py::181 topic : HeartBeat, data publish : {'action': 'hb', 'data': {'deviceId': 'E4:5F:01:82:7B:03', 'hotspot': 'avia', 'localStaticIp': '192.168.1.203', 'temp': 50.147, 'ramStatus': {'total': 4025397248, 'used': 120324096, 'free': 3713818624}}} Heartbeat On HeartBeat
2022-06-14 00:36:17,930::DEBUG::proto_mqtt.py::181 topic : HeartBeat, data publish : {'action': 'hb', 'data': {'deviceId': 'E4:5F:01:82:7B:03', 'hotspot': 'avia', 'localStaticIp': '192.168.1.203', 'temp': 49.173, 'ramStatus': {'total': 4025397248, 'used': 120442880, 'free': 3713691648}}} Heartbeat On HeartBeat
2022-06-14 00:36:48,695::DEBUG::proto_mqtt.py::181 topic : HeartBeat, data publish : {'action': 'hb', 'data': {'deviceId': 'E4:5F:01:82:7B:03', 'hotspot': 'avia', 'localStaticIp': '192.168.1.203', 'temp': 50.147, 'ramStatus': {'total': 4025397248, 'used': 120631296, 'free': 3713495040}}} Heartbeat On HeartBeat
2022-06-14 00:37:19,466::DEBUG::proto_mqtt.py::181 topic : HeartBeat, data publish : {'action': 'hb', 'data': {'deviceId': 'E4:5F:01:82:7B:03', 'hotspot': 'avia', 'localStaticIp': '192.168.1.203', 'temp': 49.66, 'ramStatus': {'total': 4025397248, 'used': 120623104, 'free': 3713495040}}} Heartbeat On HeartBeat
2022-06-14 00:37:50,267::DEBUG::proto_mqtt.py::181 topic : HeartBeat, data publish : {'action': 'hb', 'data': {'deviceId': 'E4:5F:01:82:7B:03', 'hotspot': 'avia', 'localStaticIp': '192.168.1.203', 'temp': 49.173, 'ramStatus': {'total': 4025397248, 'used': 120639488, 'free': 3713470464}}} Heartbeat On HeartBeat
2022-06-14 00:38:21,010::DEBUG::proto_mqtt.py::181 topic : HeartBeat, data publish : {'action': 'hb', 'data': {'deviceId': 'E4:5F:01:82:7B:03', 'hotspot': 'avia', 'localStaticIp': '192.168.1.203', 'temp': 49.173, 'ramStatus': {'total': 4025397248, 'used': 120356864, 'free': 3713744896}}} Heartbeat On HeartBeat
